generation	Posterior	Prior	logLk	sigmasq	alpha	root
0	-29.63247	0	-29.63247	9.159972	0.353699	6.164697
1000	-30.29929	0	-30.29929	6.245305	0.2306222	6.106513
2000	-31.48479	0	-31.48479	6.598299	0.3086466	5.904402
3000	-32.51781	0	-32.51781	7.850661	0.7125279	6.741732
4000	-30.61558	0	-30.61558	12.67835	0.918184	6.41336
5000	-29.56148	0	-29.56148	11.05231	0.4710735	6.762181
6000	-29.36364	0	-29.36364	10.00924	0.5535997	6.939842
7000	-29.31989	0	-29.31989	6.510286	0.6520545	6.223174
8000	-28.27405	0	-28.27405	6.961922	0.2316098	6.062005
9000	-29.3645	0	-29.3645	5.026446	0.2450652	6.615237
