,debilis,burkei,fremontii,ferrisiae,glaberrima,chrysantha,californica,coulteri,gracilis,conjugens,microglossa,platycarpha,glabrata,minor
debilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
burkei,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fremontii,0.9865,0.024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ferrisiae,=,0,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
glaberrima,1,=,0.999,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
chrysantha,=,0,0.007,=,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
californica,=,0.01075,=,=,0.00025,0.96225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
coulteri,=,0,=,=,0,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gracilis,=,5e-04,0.04975,=,0,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL
conjugens,1,=,=,0.993,0.02775,1,=,0.98825,0.99325,NULL,NULL,NULL,NULL,NULL
microglossa,=,0.0015,=,=,0,=,=,=,=,0.03225,NULL,NULL,NULL,NULL
platycarpha,=,0,0.0085,=,0,=,0.04775,=,=,0,=,NULL,NULL,NULL
glabrata,=,0.0025,=,=,0,=,=,=,=,0.02825,=,=,NULL,NULL
minor,=,0,=,=,0,=,=,=,=,0.00775,=,=,=,NULL
