"","$\zeta$","burkei","californica","chrysantha","conjugens","coulteri","debilis","ferrisiae","fremontii","glaberrima","glabrata","gracilis","microglossa","minor","platycarpha"
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","-2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-11.25","-8.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"2.19","10.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-4.48",NA,"6.77","-3.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-7.91","-5.01","3.35","-7.21","-3.43",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-5.53","-2.64","5.72","-4.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-2.69",NA,"8.56","-1.99",NA,"5.21","2.84",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,"3.09","11.45",NA,"4.68","8.1","5.73","2.89",NA,NA,NA,NA,NA,NA
"10","glabrata","-4.28",NA,"6.97","-3.58",NA,"3.62",NA,NA,"-4.48",NA,NA,NA,NA,NA
"11","gracilis","-4.38",NA,"6.87","-3.68",NA,"3.53",NA,NA,"-4.58",NA,NA,NA,NA,NA
"12","microglossa","-5.03",NA,"6.22","-4.33",NA,"2.88",NA,"-2.34","-5.23",NA,NA,NA,NA,NA
"13","minor","-5.09",NA,"6.17","-4.39",NA,"2.82",NA,"-2.39","-5.28",NA,NA,NA,NA,NA
"14","platycarpha","-10.48","-7.58",NA,"-9.77","-5.99",NA,"-4.94","-7.78","-10.67","-6.19","-6.09","-5.44","-5.39",NA
