,debilis,burkei,fremontii,ferrisiae,glaberrima,chrysantha,californica,coulteri,gracilis,conjugens,microglossa,platycarpha,glabrata,minor
debilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
burkei,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fremontii,=,0.031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ferrisiae,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
glaberrima,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
chrysantha,=,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
californica,=,=,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
coulteri,=,0.95,0.99975,0.989,=,0.98475,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gracilis,=,=,=,=,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL
conjugens,=,=,=,=,=,=,=,0.01625,=,NULL,NULL,NULL,NULL,NULL
microglossa,=,=,=,=,=,=,=,0.02325,=,=,NULL,NULL,NULL,NULL
platycarpha,=,=,=,=,=,=,=,=,=,=,=,NULL,NULL,NULL
glabrata,=,=,=,=,=,=,=,=,=,=,=,=,NULL,NULL
minor,=,=,=,=,=,=,=,=,=,=,=,=,=,NULL
