,debilis,burkei,fremontii,ferrisiae,glaberrima,chrysantha,californica,coulteri,gracilis,conjugens,microglossa,platycarpha,glabrata,minor
debilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
burkei,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fremontii,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ferrisiae,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
glaberrima,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
chrysantha,=,0.0295,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
californica,=,=,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
coulteri,=,=,=,=,=,=,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gracilis,=,=,=,=,=,0.97475,=,=,NULL,NULL,NULL,NULL,NULL,NULL
conjugens,=,=,=,=,=,0.95425,=,=,=,NULL,NULL,NULL,NULL,NULL
microglossa,=,0.03975,=,=,=,=,=,=,0.04075,=,NULL,NULL,NULL,NULL
platycarpha,=,=,=,=,=,=,=,=,=,=,=,NULL,NULL,NULL
glabrata,=,=,=,=,=,=,=,=,=,=,=,=,NULL,NULL
minor,=,=,=,=,=,=,=,=,=,=,=,=,=,NULL
