"","$\epsilon$","burkei","californica","chrysantha","conjugens","coulteri","debilis","ferrisiae","fremontii","glaberrima","glabrata","gracilis","microglossa","minor","platycarpha"
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","0.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha",NA,"-0.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"-0.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,"-0.56","0.21","0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,"-0.81",NA,NA,"-0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-0.4","-1.07",NA,NA,"-0.51","-0.68",NA,NA,NA,NA,NA,NA,NA,NA
"9","glaberrima","0.88",NA,"0.97","1.04","0.76","0.6","1.01","1.27",NA,NA,NA,NA,NA,NA
"10","glabrata","0.66",NA,"0.75","0.82","0.55",NA,"0.8","1.06",NA,NA,NA,NA,NA,NA
"11","gracilis","0.68",NA,"0.77","0.84","0.57",NA,"0.81","1.08",NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,NA,NA,"0.72","-0.56",NA,NA,NA,NA,NA
"13","minor","0.75",NA,"0.84","0.91","0.64","0.47","0.88","1.15",NA,NA,NA,NA,NA,NA
"14","platycarpha",NA,NA,NA,NA,NA,NA,"0.48","0.74","-0.53",NA,NA,NA,NA,NA
