,debilis,burkei,fremontii,ferrisiae,glaberrima,chrysantha,californica,coulteri,gracilis,conjugens,microglossa,platycarpha,glabrata,minor
debilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
burkei,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fremontii,0.99975,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ferrisiae,=,0,=,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
glaberrima,1,0.9715,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
chrysantha,0.00075,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
californica,0.99975,0,=,0.99475,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
coulteri,0.95525,0,=,=,0,1,0.02225,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gracilis,1,=,1,1,0.00125,1,0.99625,1,NULL,NULL,NULL,NULL,NULL,NULL
conjugens,0.99875,0,=,0.973,0,1,=,=,0,NULL,NULL,NULL,NULL,NULL
microglossa,=,0,0.01025,=,0,0.9945,5e-04,=,0,0.007,NULL,NULL,NULL,NULL
platycarpha,0.02625,0,0,0.00025,0,0.9935,0,0.00025,0,0,=,NULL,NULL,NULL
glabrata,0.99775,0,=,0.9695,0,1,=,=,0.00025,=,0.99375,1,NULL,NULL
minor,0.99325,0,=,=,0,1,0.0475,=,0,=,0.9675,0.99975,=,NULL
