"","maxima","burkei","californica","chrysantha","conjugens","coulteri","debilis","ferrisiae","fremontii","glaberrima","glabrata","gracilis","microglossa","minor","platycarpha"
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,"-0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii",NA,NA,"-0.59",NA,"-0.53",NA,"-0.47",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,NA,"-0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","gracilis",NA,NA,"-0.45",NA,"-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,"0.55",NA,"0.75","0.61",NA,"0.62",NA,NA,NA
"13","minor",NA,NA,NA,NA,NA,"0.33",NA,"0.53","0.39",NA,"0.4",NA,NA,NA
"14","platycarpha",NA,NA,"-0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
