Treatment,Species,Veg_biomass,Root_Biomass,Inflor_biomass
D,debilis,0.0239,0.02322,17.955
D,burkei,0.0078,0.01283,0
D,fremontii,0.014,0.0179,0
D,ferrisiae,0.0361,0.01523,13.354
D,glaberrima,0.03,0.04622,0
D,chrysantha,,0.00025,
D,minor,,0.0003,
D,chrysantha,0.0474,0.03533,24.882
D,fremontii,0.025,0.02604,4.964
D,glaberrima,,,
D,platycarpha,,,
D,californica,0.0173,0.02117,0
D,debilis,0.0306,0.02168,12.792
D,coulteri,0.0607,0.01942,13.44
D,gracilis,,0.00014,
D,conjugens,0.0182,0.01951,0
D,burkei,0.0126,0.0097,0
D,microglossa,,,
D,conjugens,0.0244,0.0224,0
D,ferrisiae,0.0344,0.0205,13.117
D,gracilis,0.0331,0.02563,0
D,californica,,,
D,microglossa,0.0287,0.02807,19.284
D,platycarpha,0.0191,0.0147,9.398
D,glabrata,0.0679,0.0304,0
D,minor,0.0139,0.0367,0
MF,microglossa,0.0296,0.02096,22.228
MF,chrysantha,0.072,0.042806,21.238
MF,platycarpha,0.0071,0.00584,6.613
MF,conjugens,0.0185,0.0358,0
MF,burkei,0.0112,0.01955,0
MF,minor,,,
MF,glabrata,0.0353,0.04496,0
MF,debilis,0.0135,0.0096,7.303
MF,minor,0.035,0.0262,0
MF,burkei,0.0331,0.0306,0
MF,gracilis,0.0414,0.03587,0
MF,californica,0.0085,0.00883,0
MF,microglossa,,0.0006,
MF,gracilis,0.0044,0.00762,0
MF,glaberrima,,,
MF,fremontii,0.0514,0.04469,15.444
MF,ferrisiae,0.0351,0.0303,0
MF,coulteri,0.0551,0.03521,10.879
MF,glaberrima,0.0255,0.03003,0
MF,debilis,0.0401,0.02512,19.77
MF,platycarpha,0.0234,0.0201,17.985
MF,californica,,0.0001,
MF,ferrisiae,0.0279,0.014,9.84
MF,conjugens,0.0287,0.0352,4.573
MF,chrysantha,0.0407,0.0237,16.566
MF,fremontii,,0.0023,
B,gracilis,0.022,0.0421,1.893
B,fremontii,0.0305,0.0368,11.598
B,microglossa,,,
B,burkei,,0.00131,
B,ferrisiae,0.0595,0.046,37.982
B,microglossa,,,
B,conjugens,0.0401,0.07361,0
B,platycarpha,0.0293,0.03001,35.682
B,ferrisiae,0.0615,0.03424,24.432
B,minor,0.0238,0.02631,18.774
B,chrysantha,0.0601,0.03819,35.93
B,gracilis,0.0369,0.04251,10.265
B,debilis,0.0222,0.02134,22.396
B,glabrata,0.0825,0.05461,14.282
B,glaberrima,0.0404,,0
B,burkei,0.035,0.10066,6.79
B,glaberrima,,,
B,californica,,0.00012,
B,coulteri,0.0536,0.04224,10.472
B,chrysantha,0.0436,0.04538,21.551
B,conjugens,0.0426,0.04574,11.201
B,fremontii,,0.0016,
B,minor,0.0405,0.0259,10.244
B,debilis,0.0668,0.0247,20.18
B,californica,0.0491,0.04086,14.78
B,platycarpha,0.0157,0.02347,13.443
F,minor,0.017,0.0001,0
F,ferrisiae,0.0132,0.0012,0
F,fremontii,0.0016,0.0003,0
F,microglossa,,0.00181,
F,minor,0.0046,0.00276,0
F,coulteri,0.0149,0.01009,0
F,californica,0.0049,0.0046,0
F,glaberrima,0.0002,0.00096,0
F,glaberrima,0.016,0.01489,0
F,chrysantha,0.0167,0.0929,0
F,fremontii,,0.00074,
F,burkei,,,
F,gracilis,,,
F,platycarpha,,0.00151,
F,platycarpha,0.007,0.00404,0
F,conjugens,0.0082,0.00975,0
F,debilis,,0.00177,
F,debilis,,0.00047,
F,microglossa,,,
F,chrysantha,0.095,0.0053,0
F,californica,,0.00044,
F,gracilis,,0.00072,
