Species,lab,ssq_obs_mean,ssq_pseudo_mean
burkei,0.26,204.0895299366262,340.5812759733977
californica,0.46,1439.7329665443672,1769.7147053864214
chrysantha,0.34,2453.2925957090606,3070.5568860585645
conjugens,0.38,351.4064040493221,509.7100054389805
coulteri,0.51,851.9069123369242,951.5357368174916
debilis,0.33,1860.5132912007518,2476.913688592242
ferrisiae,0.54,2616.013228016241,2756.427573169998
fremontii,0.56,792.3242670021652,793.3374911959046
glaberrima,0.1,61.631475891664685,172.3344786898855
glabrata,0.81,1364.8738828327007,1018.711515847918
gracilis,0.38,1815.4528203043626,2552.0338323855935
microglossa,0.51,2053.577118810541,2217.8263376154455
minor,0.53,2081.6465070135705,2243.3088200175534
platycarpha,0.69,2525.982892003119,2261.953789113522
