"","area","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","-16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-94","-77.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"11.3","88.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-31.7","-14.9","62.3","-26.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-52.7","-35.9","41.3","-47.2","-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-42.6","-25.8","51.4","-37.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-23",NA,"71","-17.4",NA,"29.7","19.6",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,"20.2","97.4","8.9","35.1","56.1","46","26.4",NA,NA,NA,NA,NA,NA
"10","glabrata","-24.7",NA,"69.3","-19.2",NA,"28","17.9",NA,"-28.1",NA,NA,NA,NA,NA
"11","gracilis","-23",NA,"71","-17.5",NA,"29.7","19.6",NA,"-26.4",NA,NA,NA,NA,NA
"12","microglossa","-41.7","-24.9","52.3","-36.2",NA,NA,NA,"-18.8","-45.1",NA,"-18.7",NA,NA,NA
"13","minor","-30.1","-13.3","63.9","-24.5",NA,"22.6","12.5",NA,"-33.4",NA,NA,NA,NA,NA
"14","platycarpha","-69.8","-53","24.2","-64.3","-38.1","-17.1","-27.2","-46.8","-73.2","-45.1","-46.8","-28.1","-39.8",NA
