"","$\epsilon - \delta$","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-2.8","-2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,NA,"4.1","1.9","3","2.4","3","3.1",NA,NA,NA,NA,NA,NA
"10","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,"-1.8",NA,NA,NA,NA,NA
"11","gracilis",NA,NA,"2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,NA,NA,NA,"-3.1",NA,NA,NA,NA,NA
"13","minor",NA,NA,NA,NA,NA,NA,NA,NA,"-1.8",NA,NA,NA,NA,NA
"14","platycarpha",NA,NA,NA,NA,NA,NA,NA,NA,"-2.6",NA,NA,NA,NA,NA
