"","$\zeta$","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","-3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-11.8","-8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"2.3","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-4.4",NA,"7.4","-3.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-8.5","-5.4",NA,"-7.7","-4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-6","-2.9","5.8","-5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-2.9",NA,"8.9","-2.2",NA,"5.6","3.1",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,"3.4","12.1",NA,"4.7","8.8","6.3","3.2",NA,NA,NA,NA,NA,NA
"10","glabrata","-4.5",NA,"7.4","-3.7",NA,"4.1",NA,NA,"-4.7",NA,NA,NA,NA,NA
"11","gracilis","-4.5",NA,"7.3","-3.7",NA,"4",NA,NA,"-4.8",NA,NA,NA,NA,NA
"12","microglossa","-5.9",NA,"6","-5.1",NA,NA,NA,"-2.9","-6.1",NA,NA,NA,NA,NA
"13","minor","-5.4",NA,"6.4","-4.6",NA,NA,NA,"-2.5","-5.7",NA,NA,NA,NA,NA
"14","platycarpha","-11.3","-8.1",NA,"-10.5","-6.9",NA,"-5.2","-8.3","-11.5","-6.8","-6.8","-5.4","-5.8",NA
