"","$\epsilon$","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha",NA,"-0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"-0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,"-0.6","0.2","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,"-0.8",NA,NA,"-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-0.4","-1.1",NA,NA,"-0.5","-0.7",NA,NA,NA,NA,NA,NA,NA,NA
"9","glaberrima","0.9",NA,"1","1","0.8","0.6","1","1.3",NA,NA,NA,NA,NA,NA
"10","glabrata","0.7",NA,"0.8","0.8","0.5",NA,"0.8","1.1",NA,NA,NA,NA,NA,NA
"11","gracilis","0.7",NA,"0.8","0.8","0.6",NA,"0.8","1.1",NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,NA,NA,"0.7","-0.6",NA,NA,NA,NA,NA
"13","minor","0.7",NA,"0.8","0.9","0.6","0.5","0.9","1.1",NA,NA,NA,NA,NA,NA
"14","platycarpha",NA,NA,NA,NA,NA,NA,"0.5","0.7","-0.5",NA,NA,NA,NA,NA
